,정류장이름,정류장ID,위도,경도
1046,용소마을제일아파트,JUB306102011,35.86059084,127.11486422
1047,애통리,JUB306120034,35.81940589,126.99814425
1048,호반촌비사벌아파트,JUB306132039,35.85120373,127.12146814
1049,마당재,JUB306132051,35.82516776,127.16312986
1050,가리내로하가영무예다음,JUB306132083,35.83971631,127.11066824
1051,가리내로하가영무예다음,JUB306132084,35.83988337,127.11010185
1052,여울로이편한세상,JUB306132110,35.83849464,127.110291
1053,여울로이편한세상,JUB306132111,35.83869307,127.11031092
1054,원산파크,JUB306132149,35.8179057,127.1592145
1055,원산파크,JUB306132150,35.8178782,127.1590375
1056,test0817,JUB306900001,35.9424961,127.2415512
1057,왕궁온천,JUB308101730,35.92070432,127.05739316
1058,왕궁온천,JUB308101734,35.9208612,127.05748103
1059,고려온천아파트,JUB308101746,35.9241455,127.0537551
1060,고려온천아파트입구,JUB308101747,35.9237561,127.0532862
1061,원평터미널,JUB311100076,35.71225564,126.99200546
1062,원평터미널,JUB311100077,35.71227216,126.99182041
1063,원평시장,JUB311100078,35.71427338,126.99307197
1064,원평시장,JUB311100079,35.71432152,126.99298502
1065,원평초교,JUB311100084,35.71784864,126.99525457
1066,원평초교,JUB311100085,35.71759311,126.99495176
1067,금산사,JUB311100086,35.71874757,127.03978712
1068,금산사,JUB311100087,35.7189048,127.03981679
1069,용화동,JUB311100088,35.71942572,127.03658295
1070,용화동,JUB311100089,35.71945947,127.03677313
1071,원평정비공단,JUB311100090,35.72083254,126.99489496
1072,원평정비공단,JUB311100091,35.72091354,126.99507182
1073,원평아파트,JUB311100095,35.72316017,126.99346492
1074,원평아파트,JUB311100096,35.7232817,126.99366913
1075,하운교,JUB311100102,35.72622449,127.0404147
1076,하운교,JUB311100103,35.7263546,127.04034129
1077,낙수동,JUB311100104,35.727879,126.99272245
1078,낙수동,JUB311100105,35.72805205,126.99282641
1079,양지마을,JUB311100111,35.73162903,126.99588569
1080,양지마을,JUB311100112,35.73166827,126.99581146
1081,하운동마을,JUB311100118,35.73281232,127.04400844
1082,하운동마을,JUB311100119,35.73286424,127.04394401
1083,봉은마을,JUB311100125,35.73798985,127.00065808
1084,봉은마을,JUB311100126,35.73807185,127.00050373
1085,서릿골,JUB311100132,35.7413551,127.00190967
1086,서릿골,JUB311100135,35.74145028,127.00215346
1087,청도리,JUB311100141,35.74307227,127.04768854
1088,청도리,JUB311100142,35.74313478,127.04760786
1089,유산마을,JUB311100148,35.74578138,127.00254827
1090,유산마을,JUB311100149,35.74580087,127.00272492
1091,유각마을,JUB311100154,35.74741719,127.05444325
1092,유각마을,JUB311100155,35.74733704,127.05418038
