,정류장이름,정류장ID,위도,경도
505,부흥동주민센터,MPB101503067,34.804353,126.434332
506,부주산 입구,MPB101503070,34.8134603,126.4299435
507,하나로마트,MPB101503071,34.818368,126.430105
508,석현동차고지,MPB101503075,34.8222302,126.4228747
509,삽진산단입구,MPB101504025,34.821757,126.383218
510,삽진산단사거리,MPB101504026,34.822995,126.380277
511,농공단지소방서,MPB101504027,34.8188309,126.3774042
512,산정농공단지 사거리,MPB101504028,34.8158632,126.374359
513,목포자동차등록사업소,MPB101504029,34.8134157,126.3769671
514,석현삼거리,MPB101504078,34.8252105,126.4223723
515,이마트,MPB102000005,34.8119657,126.4234456
516,포르모,MPB102000007,34.8078584,126.4261021
517,태양주유소건너,MPB102000008,34.804247,126.428688
518,옥암동성당,MPB102000011,34.8068394,126.4353368
519,목포옥암코아루ⓐ,MPB102000012,34.808195,126.4377409
520,옥암주공1차,MPB102000013,34.8098785,126.4389821
521,법원검찰청,MPB102000015,34.8123385,126.4467819
522,옥암푸르지오,MPB102000016,34.810173,126.444868
523,옥암중학교,MPB102000017,34.8116707,126.4512096
524,한라비발디아파트,MPB102000023,34.807583,126.455598
525,영산초등학교,MPB102000024,34.8075132,126.4512459
526,한국아델리움107동,MPB102000026,34.804862,126.445507
